5f35e51d4c197 ; 14.08.2020 06:13:02 ; ss ; Lpu_id: 10010833, memory: 7.4872360229492 MB
5f364c8d50ce0 ; 14.08.2020 13:34:26 ; ss ; loadLpuSectionWardList, memory: 13.714942932129 MB
5f364c8d50ce0 ; 14.08.2020 13:34:30 ; ss ; loadMedStaffFactList, memory: 30.831649780273 MB
5f364c8d50ce0 ; 14.08.2020 13:34:31 ; ss ; loadMedServiceList, memory: 32.54175567627 MB
5f364c8d50ce0 ; 14.08.2020 13:34:31 ; ss ; loadFederalKladrList, memory: 32.545738220215 MB
5f364c8d50ce0 ; 14.08.2020 13:34:31 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.674118041992 MB
5f364c8d50ce0 ; 14.08.2020 13:34:31 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.749542236328 MB
5f364c8d50ce0 ; 14.08.2020 13:34:32 ; ss ; loadTreatmentClassVizitTypeList, memory: 33.125648498535 MB
5f364c8d50ce0 ; 14.08.2020 13:34:32 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.960250854492 MB
5f364d190daa0 ; 14.08.2020 13:36:41 ; ss ; Lpu_id: 10010833, memory: 7.5267944335938 MB
5f364d190daa0 ; 14.08.2020 13:36:43 ; ss ; loadLpuFilialList, memory: 7.7156753540039 MB
5f364d190daa0 ; 14.08.2020 13:36:44 ; ss ; loadLpuBuildingList, memory: 7.9133834838867 MB
5f364d190daa0 ; 14.08.2020 13:36:45 ; ss ; loadLpuUnitList, memory: 8.4997787475586 MB
5f364d190daa0 ; 14.08.2020 13:36:48 ; ss ; loadLpuSectionList, memory: 13.458602905273 MB
5f364d190daa0 ; 14.08.2020 13:36:49 ; ss ; loadLpuSectionWardList, memory: 13.65990447998 MB
5f364d190daa0 ; 14.08.2020 13:36:52 ; ss ; loadMedStaffFactList, memory: 30.784423828125 MB
5f364d190daa0 ; 14.08.2020 13:36:54 ; ss ; loadMedServiceList, memory: 32.494529724121 MB
5f364d190daa0 ; 14.08.2020 13:36:54 ; ss ; loadFederalKladrList, memory: 32.498512268066 MB
5f364d190daa0 ; 14.08.2020 13:36:54 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.626892089844 MB
5f364d190daa0 ; 14.08.2020 13:36:55 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.70231628418 MB
5f364d190daa0 ; 14.08.2020 13:36:55 ; ss ; loadTreatmentClassVizitTypeList, memory: 33.078422546387 MB
5f364d190daa0 ; 14.08.2020 13:36:56 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.913024902344 MB
5f364e305dfb1 ; 14.08.2020 13:41:21 ; ss ; Lpu_id: 10010833, memory: 7.5144348144531 MB
5f364e305dfb1 ; 14.08.2020 13:41:21 ; ss ; loadLpuFilialList, memory: 7.6559829711914 MB
5f364e305dfb1 ; 14.08.2020 13:41:21 ; ss ; loadLpuBuildingList, memory: 7.9370040893555 MB
5f364e305dfb1 ; 14.08.2020 13:41:22 ; ss ; loadLpuUnitList, memory: 8.5312118530273 MB
5f364e305dfb1 ; 14.08.2020 13:41:25 ; ss ; loadLpuSectionList, memory: 13.53840637207 MB
5f364e305dfb1 ; 14.08.2020 13:41:25 ; ss ; loadLpuSectionWardList, memory: 13.739707946777 MB
5f364e305dfb1 ; 14.08.2020 13:41:28 ; ss ; loadMedStaffFactList, memory: 30.856414794922 MB
5f364e305dfb1 ; 14.08.2020 13:41:29 ; ss ; loadMedServiceList, memory: 32.566520690918 MB
5f364e305dfb1 ; 14.08.2020 13:41:30 ; ss ; loadFederalKladrList, memory: 32.570503234863 MB
5f364e305dfb1 ; 14.08.2020 13:41:30 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.698883056641 MB
5f364e305dfb1 ; 14.08.2020 13:41:30 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.774307250977 MB
5f364e305dfb1 ; 14.08.2020 13:41:30 ; ss ; loadTreatmentClassVizitTypeList, memory: 33.150413513184 MB
5f364e305dfb1 ; 14.08.2020 13:41:31 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.985015869141 MB
5f365dded2190 ; 14.08.2020 14:48:15 ; ss ; Lpu_id: 10010833, memory: 7.5274353027344 MB
5f365dded2190 ; 14.08.2020 14:48:23 ; ss ; loadLpuFilialList, memory: 7.7163162231445 MB
5f365dded2190 ; 14.08.2020 14:48:38 ; ss ; loadLpuBuildingList, memory: 7.9140243530273 MB
5f365dded2190 ; 14.08.2020 14:48:38 ; ss ; loadLpuUnitList, memory: 8.5004196166992 MB
5f365dded2190 ; 14.08.2020 14:48:52 ; ss ; loadLpuSectionList, memory: 13.459243774414 MB
5f365dded2190 ; 14.08.2020 14:48:53 ; ss ; loadLpuSectionWardList, memory: 13.660545349121 MB
5f365dded2190 ; 14.08.2020 14:49:22 ; ss ; loadMedStaffFactList, memory: 30.33065032959 MB
5f365dded2190 ; 14.08.2020 14:49:23 ; ss ; loadMedServiceList, memory: 32.040756225586 MB
5f365dded2190 ; 14.08.2020 14:49:23 ; ss ; loadFederalKladrList, memory: 32.044738769531 MB
5f365dded2190 ; 14.08.2020 14:49:26 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.173118591309 MB
5f365dded2190 ; 14.08.2020 14:49:27 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.248542785645 MB
5f365dded2190 ; 14.08.2020 14:49:27 ; ss ; loadTreatmentClassVizitTypeList, memory: 32.624649047852 MB
5f365dded2190 ; 14.08.2020 14:49:28 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.459251403809 MB
5f367e2c2f01a ; 14.08.2020 17:06:04 ; ss ; Lpu_id: 10010833, memory: 7.5309753417969 MB
5f367e2c2f01a ; 14.08.2020 17:06:05 ; ss ; loadLpuFilialList, memory: 7.6725234985352 MB
5f367e2c2f01a ; 14.08.2020 17:06:06 ; ss ; loadLpuBuildingList, memory: 7.9535446166992 MB
5f367e2c2f01a ; 14.08.2020 17:06:07 ; ss ; loadLpuUnitList, memory: 8.5477523803711 MB
5f367e2c2f01a ; 14.08.2020 17:06:11 ; ss ; loadLpuSectionList, memory: 13.554946899414 MB
5f367e2c2f01a ; 14.08.2020 17:06:12 ; ss ; loadLpuSectionWardList, memory: 13.756248474121 MB
5f367e2c2f01a ; 14.08.2020 17:06:15 ; ss ; loadMedStaffFactList, memory: 30.872955322266 MB
5f367e2c2f01a ; 14.08.2020 17:06:16 ; ss ; loadMedServiceList, memory: 32.583061218262 MB
5f367e2c2f01a ; 14.08.2020 17:06:16 ; ss ; loadFederalKladrList, memory: 32.587043762207 MB
5f367e2c2f01a ; 14.08.2020 17:06:16 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.715423583984 MB
5f367e2c2f01a ; 14.08.2020 17:06:17 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.79084777832 MB
5f367e2c2f01a ; 14.08.2020 17:06:17 ; ss ; loadTreatmentClassVizitTypeList, memory: 33.166954040527 MB
5f367e2c2f01a ; 14.08.2020 17:06:17 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 34.001556396484 MB
5f36a4e979488 ; 14.08.2020 19:51:22 ; ss ; Lpu_id: 10010833, memory: 7.4872970581055 MB
5f36a4e979488 ; 14.08.2020 19:51:22 ; ss ; loadLpuFilialList, memory: 7.6288452148438 MB
5f36a4e979488 ; 14.08.2020 19:51:24 ; ss ; loadLpuBuildingList, memory: 7.8749237060547 MB
5f36a4e979488 ; 14.08.2020 19:51:25 ; ss ; loadLpuUnitList, memory: 8.4613189697266 MB
5f36a4e979488 ; 14.08.2020 19:51:27 ; ss ; loadLpuSectionList, memory: 13.420143127441 MB
5f36a4e979488 ; 14.08.2020 19:51:28 ; ss ; loadLpuSectionWardList, memory: 13.621444702148 MB
5f36a4e979488 ; 14.08.2020 19:51:32 ; ss ; loadMedStaffFactList, memory: 30.745964050293 MB
5f36a4e979488 ; 14.08.2020 19:51:33 ; ss ; loadMedServiceList, memory: 32.456069946289 MB
5f36a4e979488 ; 14.08.2020 19:51:33 ; ss ; loadFederalKladrList, memory: 32.460052490234 MB
5f36a4e979488 ; 14.08.2020 19:51:33 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.588432312012 MB
5f36a4e979488 ; 14.08.2020 19:51:33 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.663856506348 MB
5f36a4e979488 ; 14.08.2020 19:51:34 ; ss ; loadTreatmentClassVizitTypeList, memory: 33.039962768555 MB
5f36a4e979488 ; 14.08.2020 19:51:34 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.874565124512 MB
